Open,High,Low,Close,Adj Close,Volume,Date
43.432,43.627,42.164,42.408,37.563,7256162,2020-12-30
42.554,42.798,42.31,42.408,37.563,3042377,2020-12-31
42.798,44.065,42.554,44.065,39.031,7511574,2021-01-04
44.7,45.05,44.4,44.9,39.77,5670000,2021-01-05
45.1,45.25,43.65,44.35,39.283,5087000,2021-01-06
46.85,48.75,46.1,48.75,43.18,75821000,2021-01-07
49.8,51.9,47.6,48.1,42.605,85439000,2021-01-08
48.5,49.2,47.7,48.65,43.092,19715000,2021-01-11
48.65,48.8,46.2,46.25,40.966,15222000,2021-01-12
46.75,50.7,46.55,50.4,44.642,48061000,2021-01-13
50.3,51.4,49.25,50.1,44.376,27160000,2021-01-14
51.9,52.5,49.1,49.15,43.535,32070000,2021-01-15
49.2,49.8,47.5,49.55,43.889,16401000,2021-01-18
50.1,51.0,49.0,50.0,44.288,20922000,2021-01-19
50.5,50.6,47.7,47.75,42.295,17310000,2021-01-20
47.9,49.45,47.65,47.8,42.339,16553000,2021-01-21
47.5,48.85,47.35,48.75,43.18,8223000,2021-01-22
48.75,48.75,47.35,48.35,42.826,9979000,2021-01-25
48.35,48.85,46.9,47.15,41.763,9616000,2021-01-26
47.25,47.7,46.8,46.85,41.498,4830000,2021-01-27
46.0,46.4,44.9,45.0,39.859,11654000,2021-01-28
45.85,45.85,43.8,43.9,38.885,8588000,2021-01-29
43.0,43.65,41.15,43.4,38.442,14411000,2021-02-01
43.4,44.25,42.8,43.2,38.265,13276000,2021-02-02
43.4,43.5,42.4,42.4,37.556,7273000,2021-02-03
42.0,43.3,41.8,42.5,37.645,4807000,2021-02-04
42.7,43.25,41.9,42.9,37.999,6301000,2021-02-05
43.6,45.7,43.6,45.3,40.125,12193000,2021-02-17
45.8,46.3,45.35,46.0,40.745,11115000,2021-02-18
45.35,45.75,45.1,45.7,40.479,6431000,2021-02-19
46.25,49.0,46.25,48.6,43.048,23363000,2021-02-22
48.1,48.65,47.5,47.9,42.428,9198000,2021-02-23
48.0,48.5,46.8,46.8,41.453,8679000,2021-02-24
47.35,48.0,47.2,47.7,42.25,5122000,2021-02-25
46.55,48.4,46.45,48.4,42.87,6880000,2021-02-26
48.8,49.45,46.8,46.85,41.498,10618000,2021-03-02
47.0,47.4,45.7,47.1,41.719,5273000,2021-03-03
47.05,47.8,46.15,46.15,40.878,5369000,2021-03-04
45.05,45.95,45.0,45.7,40.479,4843000,2021-03-05
46.0,47.4,45.9,46.25,40.966,4942000,2021-03-08
46.2,46.65,45.2,45.75,40.523,3322000,2021-03-09
46.45,47.55,46.05,47.0,41.63,7578000,2021-03-10
47.5,47.55,46.1,46.3,41.01,8555000,2021-03-11
46.85,46.85,45.7,45.8,40.568,6869000,2021-03-12
45.8,46.35,45.55,46.05,40.789,3742000,2021-03-15
46.35,46.35,45.6,45.75,40.523,4390000,2021-03-16
45.9,46.8,45.8,46.3,41.01,5158000,2021-03-17
46.55,47.7,46.55,46.8,41.453,10964000,2021-03-18
46.3,46.85,45.9,45.95,40.7,5784000,2021-03-19
46.0,46.4,45.7,45.8,40.568,4583000,2021-03-22
45.95,46.3,45.5,45.65,40.435,5149000,2021-03-23
45.5,45.75,45.0,45.05,39.903,4563000,2021-03-24
45.1,45.35,44.0,44.2,39.15,6585000,2021-03-25
44.5,45.75,44.4,45.55,40.346,5220000,2021-03-26
45.65,46.05,45.1,45.75,40.523,5738000,2021-03-29
46.2,46.5,45.75,45.8,40.568,7155000,2021-03-30
46.0,46.25,45.2,45.3,40.125,5911000,2021-03-31
45.8,46.65,45.2,46.1,40.833,9845000,2021-04-01
52.0,55.7,51.7,55.7,49.336,122511000,2021-04-07
56.8,60.5,56.5,58.5,51.817,117333000,2021-04-08
58.1,59.2,56.2,57.3,50.754,45972000,2021-04-09
59.0,62.4,57.4,58.9,52.171,62627000,2021-04-12
58.5,60.1,55.1,56.0,49.602,31669000,2021-04-13
57.0,58.6,50.5,56.2,49.779,43934000,2021-04-14
57.4,58.4,56.2,58.3,51.639,24899000,2021-04-15
58.1,58.8,56.8,56.8,50.311,23659000,2021-04-16
57.5,57.7,55.4,56.5,50.045,15368000,2021-04-19
57.0,58.3,56.2,56.4,49.956,23587000,2021-04-20
56.0,56.7,55.0,55.3,48.982,12882000,2021-04-21
55.7,56.2,52.8,53.0,46.945,19500000,2021-04-22
54.2,55.8,53.0,55.8,49.425,18748000,2021-04-23
58.9,60.2,57.5,57.9,51.285,70741000,2021-04-26
58.8,59.1,56.9,57.2,50.665,23379000,2021-04-27
57.0,58.2,55.8,57.0,50.488,17121000,2021-04-28
57.1,57.9,55.8,56.2,49.779,12087000,2021-04-29
56.5,56.5,51.8,51.8,45.882,21182000,2021-05-03
51.8,53.0,47.55,49.95,44.243,22222000,2021-05-04
50.8,52.1,49.75,50.4,44.642,13057000,2021-05-05
50.5,51.6,49.2,49.65,43.978,8962000,2021-05-06
50.7,52.4,49.85,52.0,46.059,9018000,2021-05-07
52.0,52.1,50.5,50.9,45.085,6144000,2021-05-10
49.9,50.3,46.3,47.9,42.428,13991000,2021-05-11
47.7,48.0,43.15,43.75,38.752,20759000,2021-05-12
40.4,45.1,40.2,44.0,38.973,12362000,2021-05-13
45.05,45.6,43.0,43.4,38.442,8439000,2021-05-14
39.5,42.4,39.1,39.3,34.81,13300000,2021-05-17
40.1,43.2,40.1,43.2,38.265,9440000,2021-05-18
42.95,44.75,42.85,44.4,39.327,9536000,2021-05-19
43.8,44.6,42.8,42.95,38.043,5937000,2021-05-20
44.0,44.4,43.3,44.1,39.062,4584000,2021-05-21
43.55,44.75,42.95,44.15,39.106,3923000,2021-05-24
45.0,46.25,44.6,45.45,40.257,8862000,2021-05-25
45.75,45.8,44.7,45.35,40.169,3967000,2021-05-26
45.05,45.5,44.5,45.3,40.125,3519000,2021-05-27
